Original,Normalised
Ihesu,Yhesu
figliuola,figliola
filguola,figliola
et,e
precioso,pretioso
desederio,desiderio
el,il
luppo,lupo
truova,trova
redemischa,redemisca
crocifixo,crucifixo
de,di

